City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
333,Katherine,AU,77.32,few clouds,-14.4667,132.2667,Pine Tree Motel
334,Labuhan,ID,78.98,overcast clouds,-6.8844,112.2051,DoubleFAG
335,Muisne,EC,81.45,light rain,0.6,-80.0333,Quinta Samay
345,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Lamu House
348,Manokwari,ID,77.85,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
350,Vanimo,PG,77.0,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
351,Kalavad,IN,80.04,clear sky,22.2167,70.3833,Hetu Bapu Kadri
353,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
354,Tayu,ID,75.99,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
356,Kikwit,CD,76.93,scattered clouds,-5.041,18.8162,HOTEL PLACE YALABA
357,Tirumullaivasal,IN,77.36,few clouds,11.2333,79.8333,Almupaark complex
359,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
361,Presidencia Roque Saenz Pena,AR,83.91,overcast clouds,-26.7852,-60.4388,Hotel Gualok
364,Humaita,BR,82.51,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
367,Sumter,US,79.02,overcast clouds,28.7086,-82.0831,Paradise Oaks RV Resort
368,Boyolangu,ID,76.96,light rain,-8.1181,111.8935,Yos ega cv
373,Banda Aceh,ID,79.79,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
374,Axim,GH,84.07,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
377,Obregon,NI,89.69,clear sky,11.9566,-85.9636,Hostal Casa Aryen
379,Touros,BR,86.99,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
381,Hualmay,PE,77.04,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
382,Inhambane,MZ,77.36,clear sky,-23.865,35.3833,Oceano
387,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
