City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,New Norfolk,AU,2022-03-10 16:59:55,-42.7826,147.0587,54.9,91,1,2.86,clear sky
60,Albany,US,2022-03-10 16:46:33,42.6001,-73.9662,40.26,81,26,1.01,scattered clouds
61,Leningradskiy,RU,2022-03-10 16:59:56,69.3833,178.4167,4.35,76,4,6.17,clear sky
62,Narsaq,GL,2022-03-10 16:59:56,60.9167,-46.05,9.93,57,0,2.24,clear sky
63,Caiaponia,BR,2022-03-10 16:59:57,-16.9567,-51.8103,85.3,51,34,5.37,scattered clouds
64,The Valley,AI,2022-03-10 16:57:33,18.217,-63.0578,82.54,61,20,20.71,few clouds
65,Naze,JP,2022-03-10 16:52:17,28.3667,129.4833,57.7,61,94,6.73,overcast clouds
66,Palmer,US,2022-03-10 16:59:35,42.1584,-72.3287,46.78,62,68,1.99,broken clouds
67,Sioux Lookout,CA,2022-03-10 16:59:03,50.1001,-91.917,1.47,66,20,6.91,few clouds
68,Pangkalanbuun,ID,2022-03-10 16:59:58,-2.6833,111.6167,74.39,98,82,2.62,broken clouds
69,Maldonado,UY,2022-03-10 16:59:59,-34.6667,-54.9167,70.99,73,100,13.6,overcast clouds
70,Geraldton,AU,2022-03-10 16:53:43,-28.7667,114.6,72.01,56,2,3.44,clear sky
71,Qaanaaq,GL,2022-03-10 16:52:21,77.484,-69.3632,-3.32,60,99,3.56,overcast clouds
72,Charters Towers,AU,2022-03-10 16:59:59,-20.1,146.2667,78.08,85,78,9.53,broken clouds
73,Provideniya,RU,2022-03-10 16:53:38,64.3833,-173.3,10.92,53,0,15.41,clear sky
74,Bud,US,2022-03-10 17:00:00,39.447,-86.1758,47.75,59,73,6.38,broken clouds
75,Novo Aripuana,BR,2022-03-10 17:00:01,-5.1206,-60.3797,77.25,85,100,3.33,overcast clouds
76,Sibolga,ID,2022-03-10 17:00:02,1.7427,98.7792,76.44,90,100,3.56,light rain
77,Rongcheng,CN,2022-03-10 17:00:03,30.634,117.8517,61.48,73,90,3.56,overcast clouds
78,Del Rio,US,2022-03-10 17:00:06,29.3627,-100.8968,63.23,50,0,11.99,clear sky
79,Dikson,RU,2022-03-10 16:56:04,73.5069,80.5464,-13.09,98,86,11.7,overcast clouds
80,Tasiilaq,GL,2022-03-10 17:00:09,65.6145,-37.6368,22.44,84,100,21.27,light snow
81,Sisimiut,GL,2022-03-10 17:00:11,66.9395,-53.6735,-3.42,93,77,4.27,broken clouds
82,Erzin,TR,2022-03-10 16:56:16,36.9559,36.2,47.79,85,100,7.65,overcast clouds
83,Bluff,NZ,2022-03-10 17:00:12,-46.6,168.3333,59.81,88,75,7.94,broken clouds
84,Pareora,NZ,2022-03-10 17:00:17,-44.4871,171.2132,59.18,97,20,5.1,few clouds
85,Vaini,TO,2022-03-10 16:50:55,-21.2,-175.2,77.16,88,40,2.3,thunderstorm
86,Sept-Iles,CA,2022-03-10 16:58:54,50.2001,-66.3821,35.06,77,75,11.5,broken clouds
87,Meulaboh,ID,2022-03-10 17:00:23,4.1363,96.1285,74.75,95,100,4.54,heavy intensity rain
88,Ishikari,JP,2022-03-10 17:00:24,43.2397,141.3539,29.26,90,71,8.32,broken clouds
89,Harlingen,US,2022-03-10 17:00:28,26.1906,-97.6961,69.76,85,100,6.91,overcast clouds
90,Atuona,PF,2022-03-10 17:00:30,-9.8,-139.0333,77.97,72,23,17.11,few clouds
91,Mandiana,GN,2022-03-10 17:01:31,10.6333,-8.6833,102.42,8,81,3.06,broken clouds
92,Mitsamiouli,KM,2022-03-10 17:01:31,-11.3847,43.2844,79.88,82,100,3.51,light rain
93,Mitu,CO,2022-03-10 17:00:16,1.1983,-70.1733,84.51,69,86,3.58,light rain
