City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Sur,OM,2022-03-03 22:44:50,22.5667,59.5289,72.81,74,0,10.94
131,Tiksi,RU,2022-03-03 22:48:09,71.6872,128.8694,-14.96,99,100,1.97
132,Castro,BR,2022-03-03 22:48:09,-24.7911,-50.0119,63.73,97,95,3.15
133,Mahebourg,MU,2022-03-03 22:43:35,-20.4081,57.7,77.29,94,75,3.44
134,Casambalangan,PH,2022-03-03 22:48:10,18.3765,122.1274,75.78,85,83,5.82
135,Karratha,AU,2022-03-03 22:48:10,-20.7377,116.8463,85.03,65,37,20.69
136,Mashhad,IR,2022-03-03 22:49:11,36.297,59.6062,55.54,50,0,4.61
137,Acurenam,GQ,2022-03-03 22:49:11,1.0322,10.6488,68.52,99,100,0.76
138,Qui Nhon,VN,2022-03-03 22:49:12,13.7667,109.2333,71.98,85,83,5.23
139,Port Hardy,CA,2022-03-03 22:45:16,50.6996,-127.4199,45.75,87,75,13.8
140,Necochea,AR,2022-03-03 22:45:31,-38.5473,-58.7368,77.04,46,39,12.91
141,Ust-Nera,RU,2022-03-03 22:49:13,64.5667,143.2,-8.43,99,100,1.63
142,Lompoc,US,2022-03-03 22:47:29,34.6391,-120.4579,70.21,64,0,13.8
143,Belogorsk,RU,2022-03-03 22:49:13,50.9158,128.4611,15.3,93,100,10.83
144,Souillac,MU,2022-03-03 22:49:14,-20.5167,57.5167,77.38,94,75,3.44
145,Carnarvon,AU,2022-03-03 22:49:14,-24.8667,113.6333,69.87,32,0,12.66
146,Luau,AO,2022-03-03 22:49:15,-10.7073,22.2247,63.25,94,93,0.6
147,Beringovskiy,RU,2022-03-03 22:49:16,63.05,179.3167,8.47,95,100,14.29
148,Nanortalik,GL,2022-03-03 22:49:16,60.1432,-45.2371,22.59,63,88,15.3
149,Samarai,PG,2022-03-03 22:49:17,-10.6167,150.6667,83.91,73,69,7.63
150,Chuy,UY,2022-03-03 22:49:17,-33.6971,-53.4616,68.18,71,47,10.09
151,Kautokeino,NO,2022-03-03 22:49:18,69.0125,23.0412,0.95,100,75,2.48
152,Andenes,NO,2022-03-03 22:49:18,69.3143,16.1194,31.98,64,75,10.36
153,Mushie,CD,2022-03-03 22:49:19,-3.0167,16.9,75.47,80,99,2.35
154,Saint-Augustin,CA,2022-03-03 22:49:19,51.226,-58.6502,8.56,91,89,8.7
155,Pavlovsk,RU,2022-03-03 22:49:19,50.4578,40.1081,33.13,99,100,12.12
156,Ponta Do Sol,PT,2022-03-03 22:49:20,32.6667,-17.1,62.13,57,83,10.71
157,Massillon,US,2022-03-03 22:49:20,40.7967,-81.5215,31.55,67,75,10.36
158,Altukhovo,RU,2022-03-03 22:49:21,52.67,34.36,26.87,95,100,5.7
159,Mae Sai,TH,2022-03-03 22:49:21,20.4335,99.8762,67.89,53,79,2.19
160,Axim,GH,2022-03-03 22:49:22,4.8699,-2.2405,79.66,88,63,9.66
161,Mana,GF,2022-03-03 22:49:22,5.6592,-53.7767,76.35,91,85,10.31
162,Carauari,BR,2022-03-03 22:49:23,-4.8828,-66.8958,72.55,97,80,1.34
163,Talnakh,RU,2022-03-03 22:49:23,69.4865,88.3972,-19.26,98,91,5.14
164,Raudeberg,NO,2022-03-03 22:49:23,61.9875,5.1352,42.87,52,4,12.15
165,Road Town,VG,2022-03-03 22:49:24,18.4167,-64.6167,77.04,88,40,4.61
166,Boulder,US,2022-03-03 22:49:24,40.0833,-105.3505,65.07,23,0,4.0
167,Alice Springs,AU,2022-03-03 22:47:59,-23.7,133.8833,80.15,32,18,6.91
168,Kulhudhuffushi,MV,2022-03-03 22:49:25,6.6221,73.07,81.45,67,98,4.81
169,Les Cayes,HT,2022-03-03 22:49:26,18.2,-73.75,77.23,79,45,4.65
170,Coahuayana,MX,2022-03-03 22:49:26,18.7333,-103.6833,83.52,51,0,6.76
171,Tautira,PF,2022-03-03 22:49:26,-17.7333,-149.15,86.0,76,21,15.66
172,Atar,MR,2022-03-03 22:49:27,20.5169,-13.0499,68.77,15,0,9.55
173,Bireun,ID,2022-03-03 22:49:27,5.203,96.7009,76.68,78,100,4.07
174,Salalah,OM,2022-03-03 22:49:28,17.0151,54.0924,73.49,73,0,4.61
175,Huangchuan,CN,2022-03-03 22:49:28,32.1272,115.0394,53.91,77,33,4.45
176,Ancud,CL,2022-03-03 22:49:29,-41.8697,-73.8203,61.43,61,69,9.51
177,Katobu,ID,2022-03-03 22:49:29,-4.9408,122.5276,77.7,89,56,1.79
178,Rocha,UY,2022-03-03 22:49:30,-34.4833,-54.3333,62.73,74,55,7.18
179,Turukhansk,RU,2022-03-03 22:49:30,65.8167,87.9833,-5.19,93,96,9.93
180,Greymouth,NZ,2022-03-03 22:50:31,-42.4667,171.2,66.92,64,100,3.71
181,Malaryta,BY,2022-03-03 22:50:31,51.7905,24.074,31.03,81,68,5.28
182,Ottawa,CA,2022-03-03 22:45:45,45.4112,-75.6981,14.29,50,20,14.97
183,Leningradskiy,RU,2022-03-03 22:50:32,69.3833,178.4167,-1.82,95,100,5.46
184,Cervo,ES,2022-03-03 22:50:32,43.6702,-7.4101,49.96,74,90,15.82
185,Kutum,SD,2022-03-03 22:50:32,14.2,24.6667,70.21,8,65,10.87
186,Ahipara,NZ,2022-03-03 22:50:33,-35.1667,173.1667,72.45,55,46,11.99
187,Requena,ES,2022-03-03 22:50:33,39.4883,-1.1004,46.18,91,100,2.17
188,Maracaju,BR,2022-03-03 22:50:34,-21.6144,-55.1683,77.83,71,91,2.91
189,Hithadhoo,MV,2022-03-03 22:50:34,-0.6,73.0833,81.99,73,6,7.54
190,Valleyview,CA,2022-03-03 22:50:34,55.0667,-117.2859,26.64,68,97,1.14
191,Manaure,CO,2022-03-03 22:50:35,11.7751,-72.4445,82.51,70,89,25.28
192,Neiafu,TO,2022-03-03 22:50:35,-18.65,-173.9833,83.08,83,40,8.05
193,Dalbandin,PK,2022-03-03 22:50:36,28.8947,64.4101,63.66,28,0,0.49
194,Marsa Matruh,EG,2022-03-03 22:50:36,31.3525,27.2453,53.8,66,40,6.91
195,Los Llanos De Aridane,ES,2022-03-03 22:50:36,28.6585,-17.9182,62.35,75,20,17.27
196,Aitape,PG,2022-03-03 22:50:37,-3.1374,142.3475,78.93,84,100,3.18
197,Vardo,NO,2022-03-03 22:50:37,70.3705,31.1107,21.4,69,100,19.93
198,Mareeba,AU,2022-03-03 22:50:38,-17.0,145.4333,83.48,87,80,4.97
199,Ouallam,NE,2022-03-03 22:50:38,14.3188,2.0866,84.81,11,38,8.59
200,Ekuvukeni,ZA,2022-03-03 22:50:39,-28.4675,30.1551,68.45,76,48,1.83
201,Rio Grande,BR,2022-03-03 22:50:39,-32.035,-52.0986,74.95,79,0,13.78
202,Richards Bay,ZA,2022-03-03 22:50:39,-28.783,32.0377,72.97,82,9,10.89
203,Aktas,KZ,2022-03-03 22:50:40,49.7789,72.9608,10.15,95,100,4.54
204,Pacific Grove,US,2022-03-03 22:45:48,36.6177,-121.9166,65.16,78,75,5.99
205,Kushima,JP,2022-03-03 22:50:40,31.4583,131.2333,39.24,55,4,2.48
206,Coihaique,CL,2022-03-03 22:48:08,-45.5752,-72.0662,51.75,54,40,9.22
207,Tura,IN,2022-03-03 22:50:41,25.5198,90.2201,61.14,36,1,2.57
208,Claudio,BR,2022-03-03 22:50:42,-20.4433,-44.7658,68.61,80,49,1.95
209,Tazovskiy,RU,2022-03-03 22:50:42,67.4667,78.7,-16.76,100,99,6.76
210,San Patricio,US,2022-03-03 22:50:43,28.017,-97.5169,79.21,74,100,10.47
